titel;lage;miete;groesse;preis_qm;long;lati;pricecat
Großzügige 4-Zimmer-Wohnung zum Verlieben **OFFENE BESICHTIGUNG: Mi 17-19 Uhr, Sa/So 14-16 Uhr**;Göttelmannstr. 15b, Weisenau, Mainz;1234;102;12,09803922;8,2924825;49,9838556;12 bis 15 Euro pro Quadratmeter
4-Zimmer-Wohnung zum Verlieben! Wohnen im PARKQUARTIER;Göttelmannstr. 15b, Weisenau, Mainz;1182;107;11,04672897;8,2924825;49,9838556;10 bis 12 Euro pro Quadratmeter
4-Zimmer-Wohnung der Extraklasse - PARKQUARTIER;Göttelmannstr. 15b, Weisenau, Mainz;1246;113;11,02654867;8,2924825;49,9838556;10 bis 12 Euro pro Quadratmeter
Luxuriöse 1-Zi.-Wohnung mit Terrasse und EBK **OFFENE BESICHTIGUNG: Mi 17-19 Uhr, Sa/So 14-16 Uhr**;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;422;31;13,61290323;8,291409;49,9830827;12 bis 15 Euro pro Quadratmeter
BAU! 3-Zimmer-Wohnung zum Verlieben **OFFENE BESICHTIGUNG: Mi 17-19 Uhr, Sa/So 14-16 Uhr**;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;1164;105;11,08571429;8,291409;49,9830827;10 bis 12 Euro pro Quadratmeter
Exklusive 3-Zimmer-Wohnung mit hochwertiger Ausstattung - PARKQUARTIER;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;909;82;11,08536585;8,291409;49,9830827;10 bis 12 Euro pro Quadratmeter
BAU! 4-Zimmer-Wohnung mit zwei sonnigen Terrassen - PARKQUARTIER;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;1392;126;11,04761905;8,291409;49,9830827;10 bis 12 Euro pro Quadratmeter
Moderne 2-Zimmer-Wohnung zum Verblieben! **OFFENE BESICHTIGUNG: Mi 17-19 Uhr, Sa/So 14-16 Uhr**;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;731;66;11,07575758;8,291409;49,9830827;10 bis 12 Euro pro Quadratmeter
Sonnige 3-Zimmer-Wohnung der Extraklasse - PARKQUARTIER;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;1175;97;12,11340206;8,291409;49,9830827;12 bis 15 Euro pro Quadratmeter
Traumhafte 2-Zimmer-Wohnung im PARKQUARTIER **OFFENE BESICHTIGUNG: Mi 17-19 Uhr, Sa/So 14-16 Uhr**;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;610;50;12,2;8,291409;49,9830827;12 bis 15 Euro pro Quadratmeter
